DCP,DNCP,OPCP,HPCP,LPCP,CPCP,ACPCP,VTCP,MPN5P,calculated_targets_LPN10PVCPCPR,calculated_targets_MPN10PVCPCPR,calculated_targets_HPN10PVCPCPR,calculated_features_DNCP,WDCP,MDCP,OPCPLE,HPCPLE,LPCPLE,CPCPLE,OPCPRCP,HPCPRCP,LPCPRCP
9/30/2010,1.466667,1.476667,1.346,1.360667,1.360667,32937000,0,1.379333,0.98138119,1.008267545,1.042626153,40451,5,30,0.38299248,0.389787521,0.297137231,0.307975021,1.07790297,1.085252306,0.989220728
10/1/2010,1.379333,1.383333,1.354,1.373333,1.373333,8965500,0,1.376,0.97233009,0.997815533,1.033010202,40452,6,1,0.321600049,0.324495805,0.303063174,0.317240632,1.004368933,1.007281555,0.985922569
10/4/2010,1.362,1.411333,1.353333,1.399333,1.399333,9654000,0,1.36733325,0.954263924,0.978084916,1.013816583,40455,2,4,0.308954208,0.344534648,0.302570439,0.335995695,0.973320861,1.008575514,0.967127196
10/5/2010,1.41,1.418667,1.400667,1.408,1.408,4980000,0,1.362,0.94696946,0.967566406,1.006628551,40456,3,5,0.343589704,0.349717698,0.336948552,0.342170258,1.001420455,1.007575994,0.994791903
10/6/2010,1.404,1.417333,1.354667,1.364,1.364,4701000,0,1.362,0.977516862,0.998533724,1.027859238,40457,4,6,0.339325306,0.348776937,0.303555668,0.310421559,1.029325513,1.03910044,0.993157625
10/7/2010,1.371333,1.376,1.356,1.362,1.362,2115000,0,1.362,0.978952276,1.00024486,1.029368576,40458,5,7,0.315783259,0.31918074,0.30453919,0.308954208,1.006852423,1.010279001,0.995594714
10/8/2010,1.362,1.386,1.359333,1.362,1.362,4017000,0,1.369333,0.978952276,1.00489464,1.029368576,40459,6,8,0.308954208,0.326421901,0.306994138,0.308954208,1,1.017621145,0.99804185
10/11/2010,1.362667,1.38,1.338,1.349333,1.349333,2568000,0,1.369333,0.98814229,1.017972028,1.039031877,40462,2,11,0.309443809,0.322083499,0.291175962,0.299610396,1.009881919,1.022727525,0.991601035
10/12/2010,1.346667,1.352,1.335333,1.349333,1.349333,3660000,0,1.369333,0.98814229,1.020133744,1.080533864,40463,3,12,0.297632651,0.301584978,0.289180699,0.299610396,0.998024209,1.001976532,0.989624503
10/13/2010,1.376,1.39,1.357333,1.369333,1.369333,4773000,0,1.360667,0.973709828,1.007302917,1.064751963,40464,4,13,0.31918074,0.329303747,0.305521745,0.31432376,1.004868794,1.01509275,0.991236609
10/14/2010,1.4,1.402,1.36,1.383333,1.383333,4422000,0,1.363333,0.963855413,0.997831415,1.053976158,40465,5,14,0.336472237,0.337899789,0.3074847,0.324495805,1.012048437,1.01349422,0.983132767
10/15/2010,1.392667,1.393333,1.35,1.369333,1.369333,4270500,0,1.368,0.973709828,1.009737222,1.064751963,40466,6,15,0.331220614,0.331698719,0.300104592,0.31432376,1.017040413,1.017526781,0.985881447
10/18/2010,1.368,1.376,1.348,1.348667,1.348667,2442000,0,1.378667,0.988630255,1.034848854,1.124567443,40469,2,18,0.313349819,0.31918074,0.298622012,0.299116697,1.014334895,1.020266678,0.999505438
